tax_id,species,genus,family,order,class,phylum,clade,estimated_counts
363832,Solirubrobacter soli,Solirubrobacter,Solirubrobacteraceae,Solirubrobacterales,Thermoleophilia,Actinobacteria,Terrabacteria group,7103.21784030079
1612172,Vicinamibacter silvestris,Vicinamibacter,Vicinamibacteraceae,,Vicinamibacteria,Acidobacteria,,89938.9965357643
694315,Kofleria flava,Kofleria,Kofleriaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,,3318.88575074461
331696,Pseudolabrys taiwanensis,Pseudolabrys,Xanthobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,,19095.4501634678
191863,Chthoniobacter flavus,Chthoniobacter,Chthoniobacteraceae,Chthoniobacterales,Spartobacteria,Verrucomicrobia,PVC group,73227.0551058761
1813871,Panacibacter ginsenosidivorans,Panacibacter,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes,FCB group,4222.58665923386
1324935,Limisphaera ngatamarikiensis,Limisphaera,Verrucomicrobia subdivision 3,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,PVC group,15725.6318152326
667306,Aciditerrimonas ferrireducens,Aciditerrimonas,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,Terrabacteria group,7650.80975088204
2211140,Acidisarcina polymorpha,Acidisarcina,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,,2918.41725224414
332163,Candidatus Solibacter usitatus,Candidatus Solibacter,Solibacteraceae,Bryobacterales,Acidobacteriia,Acidobacteria,,15704.4100418263
1603870,Brevitalea deliciosa,Brevitalea,Pyrinomonadaceae,Blastocatellales,Blastocatellia,Acidobacteria,,8237.83919178161
1002870,Gaiella occulta,Gaiella,Gaiellaceae,Gaiellales,Rubrobacteria,Actinobacteria,Terrabacteria group,103024.680287464
268404,Steroidobacter agariperforans,Steroidobacter,Steroidobacteraceae,Nevskiales,Gammaproteobacteria,Proteobacteria,,3117.53932499116
1548208,Cephaloticoccus capnophilus,Cephaloticoccus,Opitutaceae,Opitutales,Opitutae,Verrucomicrobia,PVC group,1525.01685871957
2052936,Bacillus sp. Y-01,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,378.455448346994
1387353,Paludisphaera borealis,Paludisphaera,Isosphaeraceae,Isosphaerales,Planctomycetia,Planctomycetes,PVC group,1879.81159546584
1310417,Ferruginibacter paludis,Ferruginibacter,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes,FCB group,2737.44114094053
1630693,Gemmata sp. SH-PL17,Gemmata,Gemmataceae,Gemmatales,Planctomycetia,Planctomycetes,PVC group,3443.62658135885
125,Pirellula staleyi,Pirellula,Pirellulaceae,Pirellulales,Planctomycetia,Planctomycetes,PVC group,3226.98659002898
467976,Iamia majanohamensis,Iamia,Iamiaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,Terrabacteria group,2130.9448070727
888831,Aetherobacter rufus,Aetherobacter,Polyangiaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,,42.5596169850652
1005039,Fimbriimonas ginsengisoli,Fimbriimonas,Fimbriimonadaceae,Fimbriimonadales,Fimbriimonadia,Armatimonadetes,Terrabacteria group,5346.99429844433
1855912,Luteitalea pratensis,Luteitalea,Vicinamibacteraceae,,Vicinamibacteria,Acidobacteria,,31918.6398070491
1864941,Terrimonas terrae,Terrimonas,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes,FCB group,1390.97921109169
445931,Prosthecobacter fluviatilis,Prosthecobacter,Verrucomicrobiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,PVC group,971.878056989833
2045208,Massilia violaceinigra,Massilia,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Proteobacteria,,10439.9554496075
1002689,Occallatibacter riparius,Occallatibacter,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,,1120.97627725738
328517,Dokdonella fugitiva,Dokdonella,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,,1600.37971398177
2528009,Planctomycetes bacterium Pla175,,,,,Planctomycetes,PVC group,1865.31573057345
1157309,Luteolibacter cuticulihirudinis,Luteolibacter,Verrucomicrobiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,PVC group,461.680100508577
1473598,Paludibaculum fermentans,Paludibaculum,Bryobacteraceae,Bryobacterales,Acidobacteriia,Acidobacteria,,2507.67720015603
1002691,Occallatibacter savannae,Occallatibacter,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,,1394.65316229886
1384459,Methyloceanibacter caenitepidi,Methyloceanibacter,,Rhizobiales,Alphaproteobacteria,Proteobacteria,,9008.74995057372
1904640,Betaproteobacteria bacterium GR16-43,,,,Betaproteobacteria,Proteobacteria,,15210.0712464099
643672,Singulisphaera rosea,Singulisphaera,Isosphaeraceae,Isosphaerales,Planctomycetia,Planctomycetes,PVC group,3606.89116978472
2527975,Planctomycetes bacterium Pan216,,,,,Planctomycetes,PVC group,2092.19095496901
